medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
1BEEA74F93CD153F6CAF0601551EFBFC,4D5B9D2700B465B742161DF320C51BCA,CMT,1,N,2013-01-06 12:46:41,2013-01-06 12:58:22,1,700,5.0,0.0,0.0,0.0,0.0,CRD,16.5,0.0,0.5,3.4,0.0,20.4
007A1FC063DA40140AF6BFB43A047444,2D153C7F2F32720BE888136A68284E36,CMT,1,N,2013-01-16 13:21:09,2013-01-16 13:33:26,1,736,1.5,-73.998131,40.760971000000005,-73.973465,40.74971,CRD,9.5,0.0,0.5,1.0,0.0,11.0
9961D9B1E2F8C5BC0DFCE3CEBDD4E742,FCF217A4EA8117C3C8E3759F96F75C4F,CMT,1,N,2013-01-05 03:30:46,2013-01-05 03:44:21,2,815,3.0,-74.00173199999999,40.734566,-73.991699,40.758972,CRD,12.5,0.5,0.5,2.7,0.0,16.2
B0FD4B20C1C3F4965385CB7036862A0C,0103E4320A648365E4D69BAD48BD8CF5,CMT,1,N,2013-01-11 12:22:58,2013-01-11 12:48:48,1,1549,3.8,-73.956551,40.780895,-73.99054,40.736851,CSH,19.5,0.0,0.5,0.0,0.0,20.0
D3ED3ED4EE5BF72ACC1134911FCCE4ED,CCF60C61044509019F7483C5BD515665,CMT,1,N,2013-01-31 17:39:44,2013-01-31 17:50:39,1,654,1.2,-73.994926,40.750111,-73.978851,40.753269,CRD,8.5,1.0,0.5,1.0,0.0,11.0
C872BA0E7CB2F667798D159ED6EF4988,53BDE805B3C02F2C2DFB48CDD021ACC8,VTS,1,,2013-01-31 20:35:00,2013-01-31 20:48:00,1,780,3.35,-73.987251,40.733115999999995,-73.95723000000001,40.774165999999994,CRD,12.5,0.5,0.5,0.0,0.0,13.5
2E9FD38067490645BDC27990271F900C,2C4A7FC5EAF7AEE2D6D295DCFA52CFF9,VTS,1,,2013-01-29 17:08:00,2013-01-29 17:11:00,1,180,0.58,-73.973763,40.792351000000004,-73.972328,40.786526,CRD,4.5,1.0,0.5,1.1,0.0,7.1
0382E229B8353ED19BF59FD35A355A53,3C6BF386EFCEAA0C3010BF2B23709F59,VTS,1,,2013-01-20 22:38:00,2013-01-20 22:46:00,1,480,2.19,-73.992126,40.742554,-73.967407,40.752734999999994,CRD,8.5,0.5,0.5,1.0,0.0,10.5
4B96B1B864EF6881D3597798C34B38F5,3DA43C759DDF6866C87D1FF6852A09B6,VTS,1,,2013-01-24 19:47:00,2013-01-24 19:52:00,1,300,1.17,-73.984741,40.758808,-73.994415,40.745605,CSH,6.0,1.0,0.5,0.0,0.0,7.5
1D5E5909601077EC11E6BBB284286E09,8E57A362C89B897A6913609FA8B416C4,VTS,1,,2013-01-20 19:43:00,2013-01-20 19:47:00,2,240,1.41,-73.94716600000001,40.775729999999996,-73.958977,40.759735,CSH,6.5,0.0,0.5,0.0,0.0,7.0
